UPS Hundredweight Service®,,,,,,,,,,
Daily Rates for Multiple-Package Domestic Shipments,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

UPS Next Day Air®,,,,,,,,,,
Hundredweight Shipment Rates per Pound,,,,,,,,,,
Weight Not To Exceed, Zone 102 , Zone 103 , Zone 104 , Zone 105 , Zone 106 , Zone 107 , Zone 108 ,Zone 124,Zone 125,Zone 126
100 to 499 Lbs.,$1.30 ,$1.78 ,$2.52 ,$3.00 ,$3.23 ,$3.42 ,$3.54 ,$3.55 ,$3.55 ,$3.98 
500 to 999 Lbs.,$1.24 ,$1.65 ,$2.41 ,$2.87 ,$3.12 ,$3.29 ,$3.42 ,$3.50 ,$3.50 ,$3.92 
1000+  Lbs.,$1.26 ,$1.69 ,$2.46 ,$2.93 ,$3.17 ,$3.36 ,$3.48 ,$3.53 ,$3.53 ,$3.94 

Note: The minimum charge for a Next Day hundredweight shipment will be based on an ,,,,,,,,,,
average weight of 10 pounds per package.  Minimum shipment of 100 pounds.,,,,,,,,,,

Note:  UPS Next Day Air hundredweight rates are for both Commercial and Residential shipments.,,,,,,,,,,
