UPS Next Day Air Saver® -- Origin Alaska,
Daily Rates,
"EFFECTIVE JANUARY 2, 2006",
Rates do not include a fuel surcharge.,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,

Weight Not To Exceed,Zone 20

Letter,$14.50 
1,$22.75 
2,$24.75 
3,$27.00 
4,$29.25 
5,$31.50 
6,$33.75 
7,$35.75 
8,$37.75 
9,$39.75 
10,$42.00 
11,$43.75 
12,$45.50 
13,$47.75 
14,$49.50 
15,$51.50 
16,$53.00 
17,$54.50 
18,$56.00 
19,$57.75 
20,$59.50 
21,$61.00 
22,$62.25 
23,$63.50 
24,$64.75 
25,$66.25 
26,$68.25 
27,$69.75 
28,$71.25 
29,$72.75 
30,$74.75 
31,$76.50 
32,$78.25 
33,$80.00 
34,$81.75 
35,$83.50 
36,$85.50 
37,$87.50 
38,$89.25 
39,$91.25 
40,$93.00 
41,$95.00 
42,$96.75 
43,$98.25 
44,$99.75 
45,$101.50 
46,$103.25 
47,$105.25 
48,$106.75 
49,$108.25 
50,$110.00 
51,$112.00 
52,$114.00 
53,$115.75 
54,$117.75 
55,$119.50 
56,$121.75 
57,$124.00 
58,$126.25 
59,$128.50 
60,$131.00 
61,$133.50 
62,$135.75 
63,$138.25 
64,$140.75 
65,$143.25 
66,$145.75 
67,$148.00 
68,$150.50 
69,$152.75 
70,$155.25 
71,$158.25 
72,$160.75 
73,$163.50 
74,$166.00 
75,$168.75 
76,$171.00 
77,$173.50 
78,$176.00 
79,$178.25 
80,$180.75 
81,$183.00 
82,$185.50 
83,$187.75 
84,$190.00 
85,$192.25 
86,$194.75 
87,$196.75 
88,$199.25 
89,$201.25 
90,$203.75 
91,$205.75 
92,$208.25 
93,$210.25 
94,$212.75 
95,$215.00 
96,$217.25 
97,$219.50 
98,$221.75 
99,$224.00 
100,$226.00 
101,$228.25 
102,$230.75 
103,$233.00 
104,$235.50 
105,$237.75 
106,$240.25 
107,$242.50 
108,$244.50 
109,$246.50 
110,$249.00 
111,$251.50 
112,$253.75 
113,$256.00 
114,$258.25 
115,$260.25 
116,$262.25 
117,$264.50 
118,$266.75 
119,$268.75 
120,$271.00 
121,$273.00 
122,$275.25 
123,$277.25 
124,$279.50 
125,$281.75 
126,$284.00 
127,$286.00 
128,$288.25 
129,$290.25 
130,$292.50 
131,$295.00 
132,$297.25 
133,$299.50 
134,$301.75 
135,$304.00 
136,$306.25 
137,$308.50 
138,$310.75 
139,$313.00 
140,$315.25 
141,$317.50 
142,$320.00 
143,$322.25 
144,$324.50 
145,$327.00 
146,$329.25 
147,$331.25 
148,$333.50 
149,$335.75 
150,$338.25 
Multiplier,$2.27 
