UPS 2nd Day Air A.M.® -- Origin Hawaii,
Daily Rates,
"EFFECTIVE JANUARY 2, 2006",
Rates do not include a fuel surcharge.,

Weight Not To Exceed,Zone 18

Letter,$11.80 
1,$12.80 
2,$14.50 
3,$16.50 
4,$18.80 
5,$20.80 
6,$23.00 
7,$25.50 
8,$27.80 
9,$30.00 
10,$32.00 
11,$34.30 
12,$36.30 
13,$38.00 
14,$39.80 
15,$41.50 
16,$43.00 
17,$44.50 
18,$46.00 
19,$47.30 
20,$48.80 
21,$50.30 
22,$51.50 
23,$53.00 
24,$54.30 
25,$55.80 
26,$57.30 
27,$58.80 
28,$60.30 
29,$62.00 
30,$63.80 
31,$65.30 
32,$67.00 
33,$68.50 
34,$70.30 
35,$71.80 
36,$73.30 
37,$75.00 
38,$76.50 
39,$78.50 
40,$80.00 
41,$81.30 
42,$82.80 
43,$84.30 
44,$85.50 
45,$87.00 
46,$88.80 
47,$90.30 
48,$92.00 
49,$93.80 
50,$95.30 
51,$96.50 
52,$98.00 
53,$99.30 
54,$100.30 
55,$101.80 
56,$103.00 
57,$104.30 
58,$105.80 
59,$107.00 
60,$108.50 
61,$110.00 
62,$111.80 
63,$113.30 
64,$114.50 
65,$116.00 
66,$117.50 
67,$119.00 
68,$120.50 
69,$122.00 
70,$123.80 
71,$125.50 
72,$127.00 
73,$128.80 
74,$130.30 
75,$131.50 
76,$132.80 
77,$134.30 
78,$135.80 
79,$137.50 
80,$139.00 
81,$140.50 
82,$142.30 
83,$143.80 
84,$145.30 
85,$147.00 
86,$148.80 
87,$150.50 
88,$152.30 
89,$154.00 
90,$156.00 
91,$157.50 
92,$159.30 
93,$161.00 
94,$162.80 
95,$164.30 
96,$165.80 
97,$167.50 
98,$168.80 
99,$170.30 
100,$171.80 
101,$173.30 
102,$174.80 
103,$176.30 
104,$177.80 
105,$179.50 
106,$181.00 
107,$182.80 
108,$184.30 
109,$186.00 
110,$187.80 
111,$189.80 
112,$191.50 
113,$193.30 
114,$195.00 
115,$196.50 
116,$198.30 
117,$200.00 
118,$202.00 
119,$203.50 
120,$205.30 
121,$206.80 
122,$208.50 
123,$210.30 
124,$212.00 
125,$213.50 
126,$215.30 
127,$216.80 
128,$218.50 
129,$220.30 
130,$221.80 
131,$223.50 
132,$225.00 
133,$227.00 
134,$228.80 
135,$230.80 
136,$232.50 
137,$234.30 
138,$236.00 
139,$237.50 
140,$239.30 
141,$241.00 
142,$242.80 
143,$244.30 
144,$246.00 
145,$247.50 
146,$249.30 
147,$251.00 
148,$253.00 
149,$255.00 
150,$256.80 
Multiplier,$1.73 
