Domestic Services,,,
"Zones for Service to Hawaii, Alaska Extended & Puerto Rico",,,




Destination,Zones,,
ZIP Codes,Next Day Air,2nd Day Air,Ground
006-007,24,14,11
009-,24,14,11
96701,24,14,9
96703-05,26,-,10
96706-07,24,14,9
96708,26,-,10
96709,24,14,9
96710,26,-,10
96712,24,14,9
96713,26,-,10
96717,24,14,9
96718-22,26,-,10
96725-29,26,-,10
96730-31,24,14,9
96732-33,26,-,10
96734,24,14,9
96737-43,26,-,10
96744,24,14,9
96745-57,26,-,10
96759,24,14,9
96760-61,26,-,10
96762,24,14,9
96763-81,26,-,10
96782,24,14,9
96783-85,26,-,10
96786,24,14,9
96788,26,-,10
96789,24,14,9
96790,26,-,10
96791-92,24,14,9
96793,26,-,10
96795,24,14,9
96796,26,-,10
96797,24,14,9
96801-28,24,14,9
96830-34,24,14,9
96835-50,24,14,9
96853-54,24,14,9
96857-63,24,14,9

Service to destinations in Zone 26 may require one or more additional days. A dash (-) means service is not available.
