UPS Worldwide Expedited to Canada,,
"EFFECTIVE JANUARY 6, 2003",,
Rates do not include a fuel surcharge.,,

Weight Not To Exceed,Zone 71,Zone 72

1,35,35.75
2,38,40
3,41,44.25
4,43.75,48.5
5,46.5,52.75
6,49.25,56
7,52,58.75
8,54.75,61.5
9,57.5,64.25
10,60.25,67
11,63,69.5
12,65.75,72
13,68.5,74.25
14,71,76.5
15,73.5,78.75
16,76,81
17,78.5,83.25
18,81,85.5
19,83.25,87.75
20,85.5,90
21,87.5,92
22,89.5,94
23,91.5,96
24,93.5,98
25,95.5,100
26,97.5,102
27,99.5,104
28,101.5,106
29,103.5,108
30,105.5,110
31,107.25,112.25
32,109,114.5
33,110.75,116.75
34,112.5,119
35,114.25,121.25
36,116,123.5
37,117.75,125.75
38,119.5,128
39,121.25,130.25
40,123,132.25
41,124.75,134.25
42,126.5,136.25
43,128.25,138.25
44,130,140.25
45,131.75,142.25
46,133.5,144.25
47,135.25,146.25
48,137,148.25
49,138.75,150.25
50,140.5,152.25
52,144.25,156
54,148,159.75
56,151.75,163.25
58,155.5,166.75
60,159.25,170.25
62,163,173.5
64,166.75,176.75
66,170.25,180
68,173.75,183.25
70,177.25,186.5
72,180.5,189.75
74,183.75,193
76,187,196.25
78,190.25,199.5
80,193.5,202.75
82,196.75,206
84,200,209.25
86,203.25,212.5
88,206.5,215.75
90,209.75,219
92,213,222.25
94,216.25,225.5
96,219.5,228.5
98,222.75,231.5
100,226,234.5
105,235,245.5
110,244,256.5
115,253,267.5
120,262,278.5
125,271,289.5
130,280,300.5
135,289,311.5
140,298,322.5
145,307,333.5
150,316,344.5
151 to 174,2.11,2.3
Min,316,344.5
175 to 199,1.93,2.11
Min,367.14,400.2
200 to 299,1.88,2.01
Min,384.07,419.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 to 499,1.81,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,562.12,600.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 +,1.81,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.14,53.94,487.2,475.02,66.12
Min,903.19,968.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
