Next Day Air Saver -- Origin Hawaii,
Daily Rates,
"EFFECTIVE JANUARY 2, 2006",
Rates do not include a fuel surcharge.,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,

Weight Not To Exceed,Zone 152

Letter,$15.00 
1,$22.75 
2,$24.75 
3,$27.00 
4,$29.25 
5,$31.50 
6,$33.75 
7,$35.75 
8,$37.75 
9,$40.00 
10,$42.00 
11,$43.75 
12,$45.50 
13,$47.50 
14,$49.50 
15,$51.25 
16,$53.00 
17,$54.50 
18,$56.00 
19,$57.50 
20,$59.25 
21,$60.75 
22,$62.00 
23,$63.25 
24,$64.50 
25,$66.25 
26,$68.25 
27,$70.00 
28,$71.50 
29,$73.00 
30,$74.75 
31,$76.50 
32,$78.25 
33,$80.00 
34,$81.75 
35,$83.50 
36,$85.50 
37,$87.50 
38,$89.25 
39,$91.25 
40,$93.00 
41,$95.00 
42,$96.75 
43,$98.25 
44,$100.00 
45,$101.75 
46,$103.50 
47,$105.50 
48,$107.00 
49,$108.50 
50,$110.25 
51,$112.00 
52,$114.00 
53,$115.75 
54,$117.75 
55,$120.00 
56,$122.25 
57,$124.50 
58,$126.75 
59,$129.00 
60,$131.25 
61,$133.50 
62,$135.75 
63,$138.25 
64,$140.75 
65,$143.25 
66,$145.75 
67,$148.25 
68,$150.75 
69,$153.25 
70,$155.75 
71,$158.50 
72,$161.00 
73,$163.50 
74,$166.00 
75,$168.75 
76,$171.25 
77,$173.50 
78,$176.00 
79,$178.25 
80,$180.75 
81,$183.25 
82,$185.75 
83,$188.25 
84,$190.50 
85,$192.50 
86,$195.00 
87,$197.00 
88,$199.00 
89,$201.25 
90,$203.75 
91,$206.00 
92,$208.25 
93,$210.25 
94,$212.75 
95,$215.00 
96,$217.25 
97,$219.50 
98,$221.75 
99,$224.00 
100,$226.25 
101,$228.75 
102,$231.25 
103,$233.75 
104,$236.00 
105,$238.00 
106,$240.50 
107,$242.75 
108,$244.75 
109,$246.75 
110,$249.25 
111,$251.50 
112,$253.50 
113,$255.75 
114,$258.00 
115,$260.00 
116,$262.00 
117,$264.25 
118,$266.50 
119,$268.50 
120,$270.75 
121,$273.00 
122,$275.50 
123,$277.75 
124,$280.00 
125,$282.25 
126,$284.50 
127,$286.50 
128,$289.00 
129,$291.25 
130,$293.50 
131,$295.75 
132,$297.75 
133,$300.00 
134,$302.25 
135,$304.50 
136,$306.75 
137,$309.00 
138,$311.50 
139,$313.50 
140,$315.50 
141,$317.50 
142,$319.75 
143,$321.75 
144,$324.00 
145,$326.25 
146,$328.50 
147,$331.00 
148,$333.25 
149,$335.50 
150,$338.00 
Multiplier,$2.27 
